dataset,rows,frauds,model,test_rows,test_frauds,test_AP,AP_baseline,precision,recall,TP,FP,FN,TN,threshold
bank,10125,68,Gradient Boosting,2025,13,0.7723134438394982,0.006419753086419753,0.8,0.6153846153846154,8,2,5,2010,0.9543216832227244
synthetic,50000,16067,Random Forest,9929,3186,0.3158761316089972,0.3208782354718501,0.3208782354718501,1.0,3186,6743,0,0,0.2902204030517307
credit_card,100000,1000,Gradient Boosting,20000,200,0.0118667260933038,0.01,0.0108324803821221,0.635,127,11597,73,8203,0.4219730052419455
